0.1033	1.4047	0.291
0.1078	1.3981	0.251
0.11	1.3886	0.244
0.1127	1.3806	0.239
0.114	1.3772	0.239
0.1181	1.3783	0.244
0.121	1.3929	0.247
0.124	1.4061	0.224
0.1272	1.3999	0.195
0.1295	1.3777	0.174
0.1305	1.3607	0.172
0.1319	1.3389	0.18
0.1333	1.321	0.194
0.1348	1.303	0.213
0.1362	1.2871	0.243
0.137	1.2849	0.271
0.1378	1.2851	0.289
0.1387	1.297	0.334
0.1393	1.3151	0.344
0.1409	1.3575	0.382
0.1425	1.413	0.401
0.1435	1.4525	0.4065
0.1442	1.4845	0.405
0.145	1.5157	0.389
0.1459	1.5484	0.377
0.1468	1.5729	0.345
0.1476	1.5915	0.332
0.148	1.6021	0.315
0.1485	1.6077	0.298
0.1494	1.6156	0.274
0.1512	1.622	0.228
0.1531	1.6311	0.198
0.154	1.6345	0.172
0.155	1.6363	0.156
0.1569	1.6353	0.11
0.158	1.6309	0.083
0.1589	1.6214	0.058
0.161	1.5818	0.022
0.163	1.5482	0.008473
0.165	1.5225	0.003263
0.167	1.5027	0.001256
0.169	1.487	0.0004837
0.171	1.4743	0.0001862
0.173	1.4635	0.00007165
0.175	1.4543	0.00002757
0.177	1.4462	0.00001061
0.179	1.439	0.000004081
0.181	1.4326	0.00000157
0.183	1.4268	5.403e-7
0.185	1.4215	1.829e-7
0.187	1.4167	6.218e-8
0.189	1.4122	2.113e-8
0.191	1.4081	7.181e-9
0.193	1.4043	2.44e-9
0.195	1.4007	8.289e-10
0.197	1.3974	2.816e-10
0.199	1.3943	9.565e-11
0.201	1.3914	3.249e-11
0.2019	1.3901	2e-11
0.21	1.3801	2e-11
0.25	1.3509	2e-11
0.3	1.3339	2e-11
0.35	1.3249	2e-11
0.39	1.3203	2e-11
0.4	1.3194	2.365e-11
0.41	1.3185	2.669e-11
0.42	1.3177	3.135e-11
0.43	1.317	4.14e-11
0.44	1.3163	6.268e-11
0.45	1.3157	9.239e-11
0.46	1.3151	1.325e-10
0.47	1.3145	1.956e-10
0.48	1.314	2.861e-10
0.49	1.3135	4.172e-10
0.5	1.313	5.889e-10
0.51	1.3126	8.036e-10
0.52	1.3121	1.076e-9
0.53	1.3117	1.409e-9
0.54	1.3114	1.813e-9
0.55	1.311	2.289e-9
0.56	1.3106	2.839e-9
0.57	1.3103	3.461e-9
0.58	1.31	4.159e-9
0.59	1.3097	4.93e-9
0.6	1.3094	5.73e-9
0.61	1.3091	6.89e-9
0.62	1.3088	8.58e-9
0.63	1.3085	1.04e-8
0.64	1.3083	1.22e-8
0.65	1.308	1.43e-8
0.66	1.3078	1.66e-8
0.67	1.3076	1.89e-8
0.68	1.3073	2.09e-8
0.69	1.3071	2.4e-8
0.7	1.3069	2.9e-8
0.71	1.3067	3.44e-8
0.72	1.3065	4.03e-8
0.73	1.3062	4.3e-8
0.74	1.306	4.92e-8
0.75	1.3059	5.87e-8
0.76	1.3057	7.08e-8
0.77	1.3055	8.58e-8
0.78	1.3053	1.02e-7
0.79	1.3051	1.18e-7
0.8	1.3049	1.34e-7
0.81	1.3047	1.4e-7
0.82	1.3046	1.43e-7
0.83	1.3044	1.45e-7
0.84	1.3042	1.51e-7
0.85	1.304	1.83e-7
0.86	1.3039	2.15e-7
0.87	1.3037	2.65e-7
0.88	1.3035	3.35e-7
0.89	1.3033	3.92e-7
0.9	1.3032	4.2e-7
0.91	1.303	4.44e-7
0.92	1.3028	4.74e-7
0.93	1.3027	5.11e-7
0.94	1.3025	5.53e-7
0.95	1.3023	6.02e-7
0.96	1.3022	7.55e-7
0.97	1.302	9.26e-7
0.98	1.3019	0.00000112
0.99	1.3017	0.00000133
1	1.3015	0.00000162
1.01	1.3014	0.000002
1.02	1.3012	0.00000225
1.03	1.301	0.00000233
1.04	1.3009	0.00000233
1.05	1.3007	0.00000217
1.06	1.3005	0.00000196
1.07	1.3003	0.00000181
1.08	1.3002	0.00000174
1.09	1.3	0.00000173
1.1	1.2998	0.0000017
1.11	1.2997	0.00000176
1.12	1.2995	0.00000182
1.13	1.2993	0.00000204
1.14	1.2991	0.00000225
1.15	1.299	0.00000229
1.16	1.2988	0.00000304
1.17	1.2986	0.00000384
1.18	1.2984	0.00000477
1.19	1.2982	0.00000576
1.2	1.298	0.00000671
1.21	1.2979	0.00000866
1.22	1.2977	0.0000102
1.23	1.2975	0.0000113
1.24	1.2973	0.0000122
1.25	1.2971	0.0000129
